Expression,Type,Frequency,Synonyms,Context_Dependent,Primary_Function,Intensity_Score,Usage_Example,Trigger_Condition,Network_Definition,Asset_Source,Is_Emoji
………,Punctuation_Pattern,44,沉默无语,1,Sarcasm,3,………你赢了。,常用于反问、反驳或表达不屑时,多个省略号表示极度无语或讽刺。,,0
蹲蹲,Slang,44,蹲守；等待,0,Neutral,2,蹲蹲后续，有结果踢我。,-,表示等待更新或后续信息，常见于追更帖。,,0
tv_笑哭,Bilibili_Emotion,43,笑哭（电视版）,0,Exaggeration,3,tv_笑哭，这剧情绝了。,-,B站TV版笑哭表情，功能同“笑哭”。,B站TV版表情包,1
阴险,Slang,43,奸诈；腹黑,0,Aggression,4,他笑得好阴险。,对方行为明显不诚实或有欺骗意图,表示某人行为或意图不善，常带贬义。,,0
墨镜,Slang,41,酷；装逼,0,Neutral,2,戴上墨镜，谁也不爱。,-,表示酷、冷漠或装腔作势。,,0
。。。。。。,Punctuation_Pattern,38,超长无语,1,Sarcasm,5,。。。。。。我服了。,-,六个及以上句号表示极度无语或讽刺。,,0
！！！！,Punctuation_Pattern,36,震惊至极,0,Exaggeration,5,！！！！真的吗？,-,四个感叹号表示非常强烈的震惊或强调。,,0
奋斗,Slang,34,努力；拼搏,0,Neutral,2,为了梦想，奋斗！,-,表示积极努力的态度。,,0
…………,Punctuation_Pattern,30,无言以对,1,Sarcasm,4,…………你说得对。,-,多个省略号，常用于讽刺对方无话可说。,,0
嘘声,Bilibili_Emotion,28,喝倒彩；不满,0,Aggression,3,全场嘘声，太尴尬了。,-,表示反对或不认同的声音。,,0
响指,Bilibili_Emotion,27,打响指；酷,0,Neutral,2,一个响指，搞定。,-,动作表示轻松解决或耍帅。,,0
害羞,Bilibili_Emotion,27,羞涩；不好意思,0,Defense,2,被夸得害羞了。,-,表达不好意思的情绪。,B站系统表情,1
胜利,Bilibili_Emotion,25,成功；赢,0,Neutral,3,我们胜利了！,-,表示获得成功或战胜对手。,,0
2233娘_大笑,Bilibili_Emotion,25,B站娘大笑,0,Exaggeration,3,2233娘_大笑，太有趣了。,-,B站站娘2233的大笑表情，表达开心。,B站站娘2233,1
热词系列_知识增加,Bilibili_Emotion,23,学到了；知识up,0,Neutral,2,热词系列_知识增加，原来如此。,-,B站热词系列表情，表示学到了新知识。,B站热词系列表情,1
！！！！！,Punctuation_Pattern,21,极度震惊,0,Exaggeration,5,！！！！！不可思议。,-,五个感叹号表示非常强烈的震惊。,,0
保卫萝卜_问号,Bilibili_Emotion,20,困惑；不解,0,Neutral,2,保卫萝卜_问号，这是什么操作？,-,游戏《保卫萝卜》中的问号表情，表示疑惑。,保卫萝卜（游戏）,1
~~,Punctuation_Pattern,20,删除线；玩笑,1,Sarcasm,3,我一点都不生气~~,表示文字被划掉、取消或打脸，带有自嘲或反驳意味。,用于表示前面的话是开玩笑或反讽（类似删除线效果）。,,0
…？,Punctuation_Pattern,19,无语+疑问,1,Sarcasm,3,…？你认真的？,-,省略号加问号，表示困惑且无语。,,0
抓狂,Bilibili_Emotion,19,崩溃；暴走,0,Exaggeration,5,这破网络，抓狂！,-,表示情绪失控，极度烦躁。,,0
，，，，,Punctuation_Pattern,19,无语停顿,1,Sarcasm,3,，，，，你厉害。,-,四个逗号表示无语或讽刺。,,0
！？,Punctuation_Pattern,19,震惊疑问,1,Exaggeration,4,！？还有这种事？,疑问与惊讶的混合情感,感叹号在前问号在后，表示震惊且怀疑。,,0
保卫萝卜_白眼,Bilibili_Emotion,18,鄙视；不屑,1,Sarcasm,3,保卫萝卜_白眼，你说得都对。,-,游戏《保卫萝卜》中的白眼表情，表示不屑。,保卫萝卜（游戏）,1
。？,Punctuation_Pattern,17,疑问+无语,1,Sarcasm,2,。？我没懂。,-,句号问号连用，表示既无语又疑惑。,,0
口罩,Slang,17,防护；遮脸,0,Neutral,2,出门记得戴口罩。,-,防疫用品，也用来表示不想露脸。,,0
tv_大哭,Bilibili_Emotion,17,大哭（电视版）,0,Neutral,4,tv_大哭，太虐了。,-,B站TV版大哭表情，表达伤心。,B站TV版表情包,1
来古-注意,Slang,16,注意看；前方高能,1,Neutral,2,来古-注意，细节来了。,-,可能源自UP主‘来古’，提醒观众注意细节或重点。,B站UP主‘来古’,0
热词系列_三连,Bilibili_Emotion,16,一键三连；支持,0,Defense,2,这个视频必须热词系列_三连。,-,B站热词系列表情，指点赞、投币、收藏三连支持。,B站热词系列表情,1
原神_哇,Slang,16,惊喜；厉害,0,Neutral,2,原神_哇，这个角色好强。,-,游戏《原神》中的哇表情，表示惊讶或赞叹。,游戏《原神》,1
奸笑,Bilibili_Emotion,16,邪恶笑；阴谋,0,Aggression,4,他奸笑一声，肯定没好事。,对方表现出软弱或犯错,表示不怀好意的笑。,,0
tv_思考,Bilibili_Emotion,15,思考（电视版）,0,Neutral,2,tv_思考，这个问题有意思。,-,B站TV版思考表情，表示沉思或考虑。,B站TV版表情包,1
画风突变,Slang,15,风格突转,0,Exaggeration,3,这剧情画风突变，笑死。,对话中一方对另一方风格的明显变化感到惊讶或觉得好笑,表示内容风格突然改变，常令人意外或搞笑。,,0
？？？？？,Punctuation_Pattern,15,极度迷惑,1,Sarcasm,4,？？？？？你在说什么？,疑问或不确定时,五个问号表示非常困惑或讽刺。,,0
？。,Punctuation_Pattern,15,疑问+无语,1,Sarcasm,2,？。好吧。,-,问号句号连用，表示质疑后无奈。,,0
……？,Punctuation_Pattern,15,无语疑问,1,Sarcasm,3,……？你确定？,-,省略号后跟问号，表示无语且质疑。,,0
tv_点赞,Bilibili_Emotion,14,点赞（电视版）,0,Defense,2,tv_点赞，说得好。,-,B站TV版点赞表情，表示支持。,B站TV版表情包,1
生气_金箍,Slang,14,被束缚的愤怒,0,Aggression,4,老板又让加班，生气_金箍。,-,来自《西游记》孙悟空戴金箍后无奈生气的梗，形容被强迫而愤怒。,西游记/孙悟空,0
tv_抠鼻,Bilibili_Emotion,14,抠鼻（电视版）,1,Sarcasm,3,tv_抠鼻，你说得都对。,-,B站TV版抠鼻表情，表示不屑或无所谓。,B站TV版表情包,1
!!!,Punctuation_Pattern,14,感叹号连用,0,Exaggeration,3,!!! 太强了。,-,三个感叹号表示强烈惊讶或强调。,,0
热词系列_锤,Bilibili_Emotion,13,实锤；证据,0,Neutral,3,热词系列_锤，这回跑不了。,-,B站热词系列表情，表示有确凿证据。,B站热词系列表情,1
龙年,Slang,13,生肖龙年,0,Neutral,2,龙年大吉！,-,农历龙年，表达祝福。,,0
tv_坏笑,Bilibili_Emotion,13,坏笑（电视版）,1,Sarcasm,3,tv_坏笑，你懂的。,观众对电视剧内容不满时,B站TV版坏笑表情，表示调侃或不怀好意。,B站TV版表情包,1
？？？？？？,Punctuation_Pattern,13,满屏问号,1,Sarcasm,5,？？？？？？ 你在讲什么？,When the speaker needs to confirm or seek agreement from the listener.,六个问号表示极度困惑或讽刺。,,0
tv_难过,Bilibili_Emotion,12,难过（电视版）,0,Neutral,3,tv_难过，结局太虐。,-,B站TV版难过表情，表示伤心。,B站TV版表情包,1
tv_皱眉,Bilibili_Emotion,12,不满；鄙视,1,Aggression,3,tv_皱眉，这观点有问题。,对方观点与自己相左时,B站TV版皱眉表情，表示不满意或不赞同。,B站TV版表情包,1
???,Punctuation_Pattern,12,问号连用,1,Sarcasm,3,??? 什么意思？,句首连用问号表示强烈的质疑、无语或反讽质问。,三个问号表示困惑或质疑。,,0
【静止画MAD]】五条,Slang,3394,静止画面发疯；五条悟梗；咒术回战,1,Sarcasm,4,这个视频全是【静止画MAD]】五条，太抽象了。,吐槽视频画面静止但配上疯狂特效或玩咒术回战梗时。,源自《咒术回战》五条悟，与静止画MAD结合，讽刺低质但搞笑的二创。,,0
